observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
b135b21d-481f-4426-8285-e27c010c5238,097f6b30-6c02-4e99-8e75-794640936b75,,c1bc12ce-4ff6-4e91-a935-6fad756f5ad4,2021-06-01T18:58:01+09:30,2021-06-01T18:58:01+09:30,event,animal,,Oryctolagus cuniculus,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:20:38Z,0.94,,
fdc345f2-323c-4304-aae8-88e70c309f14,097f6b30-6c02-4e99-8e75-794640936b75,,fdc345f2-323c-4304-aae8-88e70c309f14,2021-06-01T18:58:02+09:30,2021-06-01T18:58:02+09:30,event,unclassified,,,,,,,,,,,,,,,,,,,,
9149f73f-bea5-4bde-803c-ae167eed3d34,097f6b30-6c02-4e99-8e75-794640936b75,,97c77278-b8dc-4ab3-8001-91fe75e58ba0,2021-06-01T22:29:51+09:30,2021-06-01T22:29:51+09:30,event,animal,,Oryctolagus cuniculus,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:18:20Z,0.96,,
c92b5c7a-991d-43dd-8a4c-31a991e4cecb,097f6b30-6c02-4e99-8e75-794640936b75,,c92b5c7a-991d-43dd-8a4c-31a991e4cecb,2021-06-02T01:30:42+09:30,2021-06-02T01:30:42+09:30,event,unclassified,,,,,,,,,,,,,,,,,,,,
c264176c-bdfd-4175-b73d-1d7db1dc75b8,097f6b30-6c02-4e99-8e75-794640936b75,,818bf0e1-25eb-4f4d-893b-de02cd1c290a,2021-06-02T01:31:07+09:30,2021-06-02T01:31:07+09:30,event,animal,,Oryctolagus cuniculus,2,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:17:16Z,0.95,,
70641f5a-8a2a-493d-84a0-4e32fbcd7a2a,097f6b30-6c02-4e99-8e75-794640936b75,,afda266a-5bba-40ae-90f8-3a69daf68c85,2021-06-02T01:31:08+09:30,2021-06-02T01:31:08+09:30,event,unclassified,,,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:19:40Z,0.95,,
c0d7b460-0e41-40f3-b519-4fff6e6a53fe,097f6b30-6c02-4e99-8e75-794640936b75,,afda266a-5bba-40ae-90f8-3a69daf68c85,2021-06-02T01:31:08+09:30,2021-06-02T01:31:08+09:30,event,animal,,Oryctolagus cuniculus,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:19:39Z,0.95,,
15bd6506-6dc2-456b-9710-e9e6a169c5fc,097f6b30-6c02-4e99-8e75-794640936b75,,0652720f-5bf0-449e-a09a-1cdbdbd503de,2021-06-02T01:31:55+09:30,2021-06-02T01:31:55+09:30,event,animal,,Charadriiformes,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:10:13Z,0.92,,
78f9e46b-d87b-400f-856b-ca6ecb690bba,097f6b30-6c02-4e99-8e75-794640936b75,,0652720f-5bf0-449e-a09a-1cdbdbd503de,2021-06-02T01:31:55+09:30,2021-06-02T01:31:55+09:30,event,animal,,Oryctolagus cuniculus,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:10:13Z,0.86,,
8246044e-22d6-4bc6-a496-f46a87437ce0,097f6b30-6c02-4e99-8e75-794640936b75,,e123a955-2d9c-4d4a-9f03-b69257202b44,2021-06-02T01:31:56+09:30,2021-06-02T01:31:56+09:30,event,animal,,Oryctolagus cuniculus,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:22:28Z,0.96,,
a9d294b8-5ca1-43cb-a235-ad82fd6aa57b,097f6b30-6c02-4e99-8e75-794640936b75,,58c0a0e3-744f-4b3a-85d7-06e7d0d2c338,2021-06-02T03:06:30+09:30,2021-06-02T03:06:30+09:30,event,animal,,Oryctolagus cuniculus,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:14:46Z,0.83,,
6e785723-dc9b-438b-ba34-2ca9016ca753,097f6b30-6c02-4e99-8e75-794640936b75,,6e785723-dc9b-438b-ba34-2ca9016ca753,2021-06-02T03:06:31+09:30,2021-06-02T03:06:31+09:30,event,unclassified,,,,,,,,,,,,,,,,,,,,
ed38646a-2d86-40eb-a4d2-e21a7085772d,097f6b30-6c02-4e99-8e75-794640936b75,,934bcf59-ecc5-4195-b223-99a6cdea16df,2021-06-02T06:43:27+09:30,2021-06-02T06:43:27+09:30,event,animal,,Oryctolagus cuniculus,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:18:07Z,0.92,,
c0e4d3df-c47b-4396-8486-b66344b13402,097f6b30-6c02-4e99-8e75-794640936b75,,36acf69d-c981-46d7-a129-de19f506d845,2021-06-02T06:43:30+09:30,2021-06-02T06:43:30+09:30,event,animal,,Oryctolagus cuniculus,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:13:03Z,0.91,,
4fe7f8c2-0f59-435f-8e86-4bfead34d798,097f6b30-6c02-4e99-8e75-794640936b75,,1123c28a-e19c-40f1-b04b-4532ef85010c,2021-06-03T00:24:03+09:30,2021-06-03T00:24:03+09:30,event,animal,,Oryctolagus cuniculus,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:10:59Z,0.92,,
879ede15-e0a8-4bb5-bcb5-a190067939c8,097f6b30-6c02-4e99-8e75-794640936b75,,092a2423-d235-4c02-bd29-6b5512906a60,2021-06-03T01:14:11+09:30,2021-06-03T01:14:11+09:30,event,animal,,Oryctolagus cuniculus,1,,,,,,,,,,,,machine,addaxai VIC,2026-06-16T02:10:26Z,0.79,,
