observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
66667018-5800-4718-baba-7665ba924076,13835337-7eca-49e4-95d2-516353f83df4,,5259f7b4-59c2-4175-8aa2-cd6bf5d16742,2021-05-18T23:38:46+10:00,2021-05-18T23:38:46+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:36:11Z,1.0,,
32696179-f305-4d37-946f-c12161a01932,13835337-7eca-49e4-95d2-516353f83df4,,232a53b3-6837-452b-872f-439dc850d6b8,2021-05-19T05:51:53+10:00,2021-05-19T05:51:53+10:00,event,animal,,Macropus dorsalis,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:39:51Z,0.97,,
812e0659-ec47-4fcd-b905-b602e68c488c,13835337-7eca-49e4-95d2-516353f83df4,,a37c570d-ef75-432b-9b26-9830df65e7a1,2021-05-20T00:25:20+10:00,2021-05-20T00:25:20+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:34:17Z,0.99,,
7d64189d-6a91-49de-a5b5-3ad1bf081e38,13835337-7eca-49e4-95d2-516353f83df4,,69b99871-4a2c-4818-9031-7ca7d6a12768,2021-05-22T01:18:38+10:00,2021-05-22T01:18:38+10:00,event,animal,,osphranter rufus,2,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:42:13Z,1.0,,
eac62f20-f36e-4d3e-959b-0a21a33194ce,13835337-7eca-49e4-95d2-516353f83df4,,173c174f-aa78-47f1-a5c5-c2e74ae7af98,2021-05-22T19:45:35+10:00,2021-05-22T19:45:35+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:34:45Z,1.0,,
bea7d7e0-b11a-4250-bfc7-cb84480ff1dd,13835337-7eca-49e4-95d2-516353f83df4,,704d0649-c28e-479c-81bb-3c975b3fc052,2021-05-22T19:45:49+10:00,2021-05-22T19:45:49+10:00,event,animal,,Macropus dorsalis,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:35:50Z,0.5,,
6b4bad9c-4906-4cda-abdc-3d109fc1963a,13835337-7eca-49e4-95d2-516353f83df4,,803d998b-1316-48f9-9d09-498f4e8f533a,2021-05-22T19:46:59+10:00,2021-05-22T19:46:59+10:00,event,animal,,Bettongia lesueur,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:35:03Z,0.92,,
468545c8-322e-45e4-b0f4-189418db527d,13835337-7eca-49e4-95d2-516353f83df4,,8da32b73-22ee-4391-b61f-ce2d846f5238,2021-05-22T19:47:16+10:00,2021-05-22T19:47:16+10:00,event,animal,,Canis familiaris,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:40:16Z,0.99,,
b07a2abb-99c8-4fbb-b11a-9100585c6343,13835337-7eca-49e4-95d2-516353f83df4,,c75d7a77-06d4-4636-aad6-c9f79e4c94c5,2021-05-22T19:48:32+10:00,2021-05-22T19:48:32+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:38:06Z,1.0,,
3e6eed43-7246-4ad0-9313-5f3edaedf9ac,13835337-7eca-49e4-95d2-516353f83df4,,e0244d42-9d76-41ae-b7b1-d06198f70ca1,2021-05-22T19:51:56+10:00,2021-05-22T19:51:56+10:00,event,animal,,Canis familiaris,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:37:02Z,0.99,,
221eb5e2-7fa2-484b-955a-0f4942d7616d,13835337-7eca-49e4-95d2-516353f83df4,,c11939ea-bbbc-437b-8f54-a9a0253a3b3e,2021-05-22T20:29:40+10:00,2021-05-22T20:29:40+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:37:20Z,0.99,,
11554609-cc81-45db-81e1-e934d0acba4a,13835337-7eca-49e4-95d2-516353f83df4,,38cfb5ef-380b-4b40-b432-b43303923414,2021-05-22T20:36:19+10:00,2021-05-22T20:36:19+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:37:17Z,0.77,,
779ced2e-2d52-4f90-b615-66008cf5a0d5,13835337-7eca-49e4-95d2-516353f83df4,,c0612f3d-d07c-4599-bda0-bc295f6a6596,2021-05-23T16:41:19+10:00,2021-05-23T16:41:19+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:39:36Z,0.99,,
84ed69a6-5998-4280-bfd2-14008acb7a17,13835337-7eca-49e4-95d2-516353f83df4,,ea51e796-88ea-42b1-802d-dd51f1e6364f,2021-05-23T20:26:34+10:00,2021-05-23T20:26:34+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:37:11Z,1.0,,
392e5744-62d4-4533-966e-44ffb3f31bb9,13835337-7eca-49e4-95d2-516353f83df4,,fe9af7e7-1f5c-41bd-a8b5-0292b36d4f03,2021-05-23T20:27:11+10:00,2021-05-23T20:27:11+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:40:45Z,0.99,,
f9403cba-cb36-4801-885c-d7bfca2699bc,13835337-7eca-49e4-95d2-516353f83df4,,f9403cba-cb36-4801-885c-d7bfca2699bc,2021-05-24T03:51:03+10:00,2021-05-24T03:51:03+10:00,event,unclassified,,,,,,,,,,,,,,,,,,,,
3d8de39b-7ad8-4837-9977-a6400feb1238,13835337-7eca-49e4-95d2-516353f83df4,,4b64cbf6-a5d2-4cd4-b634-4b0ad81570d4,2021-05-25T19:43:57+10:00,2021-05-25T19:43:57+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:36:41Z,0.92,,
69aaebcc-4fe8-4fb9-a6ff-c47a3ce05e4e,13835337-7eca-49e4-95d2-516353f83df4,,346e09bb-e01c-42ed-b61b-c6eadc98cf78,2021-05-26T00:22:37+10:00,2021-05-26T00:22:37+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:35:26Z,0.9,,
d98bb2ef-b810-4639-ae03-426f1fb00521,13835337-7eca-49e4-95d2-516353f83df4,,1d3e127d-6f17-4673-8369-fe0a449c0db8,2021-05-26T08:16:42+10:00,2021-05-26T08:16:42+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:39:08Z,0.77,,
f9cac315-8b13-48e6-bb25-be0feaa2f27a,13835337-7eca-49e4-95d2-516353f83df4,,63109518-ec05-4eca-ab1c-cdd29c7d9205,2021-05-26T08:17:11+10:00,2021-05-26T08:17:11+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:37:29Z,1.0,,
7eb7df88-7654-4d75-b857-010ada4e5649,13835337-7eca-49e4-95d2-516353f83df4,,06f15880-8cc5-429b-9ee3-96f222157765,2021-05-26T08:17:25+10:00,2021-05-26T08:17:25+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:35:09Z,0.99,,
0446f790-8a15-4dc2-b9d1-c5f90e1d42b6,13835337-7eca-49e4-95d2-516353f83df4,,7476a4ae-3fb8-4cb8-a89a-a8633ffe4695,2021-05-26T23:12:18+10:00,2021-05-26T23:12:18+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:40:10Z,0.98,,
c4fcd087-cb3a-4394-8a6e-c80c75421d14,13835337-7eca-49e4-95d2-516353f83df4,,5bff959c-532b-42f2-8273-a7b38eae1339,2021-05-27T02:32:08+10:00,2021-05-27T02:32:08+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:40:57Z,0.51,,
365d8cfd-fb5b-409d-9a65-09b7550d00fe,13835337-7eca-49e4-95d2-516353f83df4,,c9405151-7ed3-433d-b8fb-575c0b94e789,2021-05-29T01:40:42+10:00,2021-05-29T01:40:42+10:00,event,animal,,Macropus dorsalis,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:35:16Z,1.0,,
8eb8fe66-3481-4d66-b26f-62484e679569,13835337-7eca-49e4-95d2-516353f83df4,,2a847438-61ab-4e84-8008-5fc0a9163028,2021-05-29T01:41:08+10:00,2021-05-29T01:41:08+10:00,event,animal,,Canis familiaris,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:34:10Z,0.97,,
eaf9278f-dc08-4cc8-8553-154285754404,13835337-7eca-49e4-95d2-516353f83df4,,7294058a-26ae-4b9c-9e9a-98f4f82e19d7,2021-05-29T07:27:47+10:00,2021-05-29T07:27:47+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:38:48Z,0.64,,
594c7d47-f006-402f-8871-041963146b7f,13835337-7eca-49e4-95d2-516353f83df4,,7294058a-26ae-4b9c-9e9a-98f4f82e19d7,2021-05-29T07:27:47+10:00,2021-05-29T07:27:47+10:00,event,animal,,Macropus dorsalis,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:38:49Z,0.59,,
52a01cd9-a950-4a48-b3ee-014883db0faf,13835337-7eca-49e4-95d2-516353f83df4,,61d9d9ef-1c40-401d-a2e0-22a596df0dae,2021-05-30T00:51:43+10:00,2021-05-30T00:51:43+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:38:52Z,1.0,,
b0e238ce-cc67-4f02-9d73-d40448bd3276,13835337-7eca-49e4-95d2-516353f83df4,,bb92c176-2638-46a1-9f46-9b236f82daf1,2021-05-30T05:41:08+10:00,2021-05-30T05:41:08+10:00,event,animal,,osphranter rufus,2,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:41:33Z,1.0,,
aaed966f-138e-4a46-9f86-2479d6389e96,13835337-7eca-49e4-95d2-516353f83df4,,c9c0b68f-d2a3-45b6-b495-413d4c8c9508,2021-05-30T05:41:30+10:00,2021-05-30T05:41:30+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:38:07Z,1.0,,
203bc26c-e97c-48e6-8eed-c1a225e92452,13835337-7eca-49e4-95d2-516353f83df4,,b603d3c3-4519-42d7-a649-e546b348c109,2021-05-30T17:04:01+10:00,2021-05-30T17:04:01+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:36:09Z,1.0,,
4699c4d0-b4d8-4074-bd9b-ae906637a8fc,13835337-7eca-49e4-95d2-516353f83df4,,e4b7029b-3498-44db-89fe-7fbf64b38e0f,2021-05-30T18:34:23+10:00,2021-05-30T18:34:23+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:40:00Z,0.99,,
00a28973-4339-4477-b3c3-117c0f386a16,13835337-7eca-49e4-95d2-516353f83df4,,38037c19-1fb6-48a5-8e5a-26a1d6a4a71d,2021-05-30T20:15:50+10:00,2021-05-30T20:15:50+10:00,event,animal,,Macropus dorsalis,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:40:58Z,0.8,,
becce567-7b4d-4dc4-b19a-caa8823c5ced,13835337-7eca-49e4-95d2-516353f83df4,,086be27a-66a7-49c0-8d3f-c9bd43c5d28c,2021-05-31T01:09:25+10:00,2021-05-31T01:09:25+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:35:44Z,0.99,,
8516d754-5b71-4316-a0e2-c1a0f2475b18,13835337-7eca-49e4-95d2-516353f83df4,,198ecb04-8a8f-4f50-a7bb-fe4ba4c531bb,2021-05-31T01:13:47+10:00,2021-05-31T01:13:47+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:41:12Z,1.0,,
2ffb334f-57a1-4bd3-83df-9e0acfc4a825,13835337-7eca-49e4-95d2-516353f83df4,,f1997901-8bce-4c8c-b329-4714c6088a7f,2021-05-31T01:14:40+10:00,2021-05-31T01:14:40+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:35:06Z,0.99,,
8f4bba9f-f32a-45fd-bdcc-d0961f435c44,13835337-7eca-49e4-95d2-516353f83df4,,8274d599-a355-4bef-b739-74155f4a1dc6,2021-05-31T01:15:58+10:00,2021-05-31T01:15:58+10:00,event,animal,,osphranter rufus,1,,,,,,,,,,,,machine,AWC 135,2026-03-26T05:36:30Z,1.0,,
