observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
c94916ac-e7ec-4e76-b8a6-56a2f39cf636,21329e72-d28a-48a3-86cc-5905a095f47d,,d4bc2273-7f79-4cc9-9592-abd90d5278b8,2016-07-26T20:23:41+10:00,2016-07-26T20:23:41+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:06:59Z,0.95,,
cc77922e-1301-4922-862f-83e34dc4311b,21329e72-d28a-48a3-86cc-5905a095f47d,,40ba86e4-a5bb-40f8-a790-e4bfce878e92,2016-07-26T20:23:42+10:00,2016-07-26T20:23:42+10:00,event,animal,,Felidae,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:11:12Z,0.75,,
5a9d12fe-9df9-4b9b-b4f1-3fe2c94ef722,21329e72-d28a-48a3-86cc-5905a095f47d,,c7a92d0e-61b2-40d3-8aa0-6643f8b58cc5,2016-07-30T01:39:41+10:00,2016-07-30T01:39:41+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:02:05Z,0.99,,
55b7d0ce-c5c3-4dee-805b-31f9ef1d5943,21329e72-d28a-48a3-86cc-5905a095f47d,,6168fec5-ec1b-4c0d-b649-a613d1eacd5f,2016-07-30T01:39:42+10:00,2016-07-30T01:39:42+10:00,event,animal,,Leopardus pardalis,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:10:39Z,0.81,,
5bb26c93-4735-41ce-a198-13741cf0f7f3,21329e72-d28a-48a3-86cc-5905a095f47d,,71575faf-85cd-47a7-9d44-de37fa7a93f5,2016-08-04T11:37:16+10:00,2016-08-04T11:37:16+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:13:14Z,0.97,,
675f1b8e-ea40-45d9-8b62-c5e82b8bf5e3,21329e72-d28a-48a3-86cc-5905a095f47d,,14dcd9cc-baa6-4e7a-ab26-0654951af664,2016-08-05T20:13:17+10:00,2016-08-05T20:13:17+10:00,event,animal,,Lynx rufus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:14:52Z,0.83,,
11029a3e-dd12-4150-85c3-f4a8aad3f554,21329e72-d28a-48a3-86cc-5905a095f47d,,1fcbbbf9-0589-4b25-a69d-490f92d552ba,2016-08-06T14:55:29+10:00,2016-08-06T14:55:29+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:08:46Z,0.99,,
1e94446b-09a6-4788-a688-dcb3a9f13cd6,21329e72-d28a-48a3-86cc-5905a095f47d,,94439ed3-a565-4d1b-b408-8a8aaedda1a8,2016-08-06T14:55:31+10:00,2016-08-06T14:55:31+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:08:14Z,0.99,,
0f917b48-db13-4bb6-9cab-aca72b7310ac,21329e72-d28a-48a3-86cc-5905a095f47d,,21cd0c7f-f0c2-473b-8a7b-2e6851894481,2016-08-07T19:52:09+10:00,2016-08-07T19:52:09+10:00,event,animal,,Carnivora,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:02:27Z,0.89,,
4cdfc60e-1902-47b2-a841-2a034c334703,21329e72-d28a-48a3-86cc-5905a095f47d,,828da128-3418-433d-a501-b00944b5115e,2016-08-17T01:10:32+10:00,2016-08-17T01:10:32+10:00,event,animal,,Felis,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:11:18Z,0.98,,
cb80e133-0b66-4b5d-9892-f65c6f16e167,21329e72-d28a-48a3-86cc-5905a095f47d,,e0a17bc4-55b5-41eb-b4df-dee0e63a7489,2016-08-17T01:10:35+10:00,2016-08-17T01:10:35+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:05:49Z,0.95,,
9c2fc926-737e-4973-a5cc-55983035e333,21329e72-d28a-48a3-86cc-5905a095f47d,,45b66a52-677e-4172-bf6e-9b4ca1d73928,2016-08-21T22:47:58+10:00,2016-08-21T22:47:58+10:00,event,animal,,Lynx rufus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:00:50Z,0.88,,
48cd5dda-349e-4f1a-8d07-886b69ac2ea3,21329e72-d28a-48a3-86cc-5905a095f47d,,bbe11fd0-6aff-4e9f-a174-e2d730218ebc,2016-08-23T14:40:42+10:00,2016-08-23T14:40:42+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:13:45Z,0.9,,
cfcaeabf-a4e0-41e7-a1a1-50d769f5ffe5,21329e72-d28a-48a3-86cc-5905a095f47d,,442b78b4-1985-4665-b75e-7aa8126a8fc2,2016-08-23T14:40:43+10:00,2016-08-23T14:40:43+10:00,event,animal,,Lynx rufus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:08:10Z,0.67,,
57637fd0-081c-4df8-9286-c3cc72f32568,21329e72-d28a-48a3-86cc-5905a095f47d,,8ed720d4-aa69-463a-a774-5405ca80ced5,2016-08-27T04:31:24+10:00,2016-08-27T04:31:24+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:14:22Z,0.99,,
b0cf752d-18b1-4a2c-9a78-b0e76b15f726,21329e72-d28a-48a3-86cc-5905a095f47d,,3b9eb8d5-a56a-4fd6-b0fb-c144e689a9e3,2016-08-27T04:31:31+10:00,2016-08-27T04:31:31+10:00,event,animal,,Mammalia,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:14:54Z,0.67,,
8c8e800c-29c6-4558-a03d-6fb03be79adb,21329e72-d28a-48a3-86cc-5905a095f47d,,98064469-e379-4e0c-80d4-3cd9d7dd33e5,2016-08-30T15:37:31+10:00,2016-08-30T15:37:31+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:13:08Z,0.99,,
701495bf-5807-4b34-95ad-ca90b26e3ac7,21329e72-d28a-48a3-86cc-5905a095f47d,,255e4242-ccaa-420f-8b14-ebd92918f239,2016-08-30T15:37:32+10:00,2016-08-30T15:37:32+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:06:04Z,1.0,,
bf068556-d5d8-45b4-b515-376a3d67711d,21329e72-d28a-48a3-86cc-5905a095f47d,,b0adbad0-e2cb-4dbb-944d-a4b9bd9c7f4b,2016-08-30T15:37:33+10:00,2016-08-30T15:37:33+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:12:54Z,0.99,,
0308d2ae-25a9-414b-8c75-7b333d64c2cd,21329e72-d28a-48a3-86cc-5905a095f47d,,86388eda-0bf0-471e-9294-10affad6e33e,2016-09-08T06:08:49+10:00,2016-09-08T06:08:49+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:13:44Z,0.97,,
3b77d9fa-01cb-466e-b6fa-528316cea4a5,21329e72-d28a-48a3-86cc-5905a095f47d,,63f2cec1-578e-4430-8f57-48e5676f39aa,2016-09-08T06:08:52+10:00,2016-09-08T06:08:52+10:00,event,animal,,Felidae,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:01:56Z,0.96,,
2f056aa8-905d-488c-8e51-5df598c36262,21329e72-d28a-48a3-86cc-5905a095f47d,,b54e0ccb-e9f1-4b0b-83ec-f9b143d162ab,2016-09-08T06:08:55+10:00,2016-09-08T06:08:55+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:11:17Z,0.94,,
10c4891c-ee5c-4343-a3f8-0f26ff59e131,21329e72-d28a-48a3-86cc-5905a095f47d,,411fc582-9139-40fe-a6fc-ba7fdade15df,2016-09-09T20:16:19+10:00,2016-09-09T20:16:19+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:00:19Z,0.8,,
5927d8f5-2e46-4ed1-a076-21f2b5f35838,21329e72-d28a-48a3-86cc-5905a095f47d,,c80ea921-3b86-4f0a-8446-50c0b564ba35,2016-09-12T22:57:39+10:00,2016-09-12T22:57:39+10:00,event,animal,,Mammalia,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:03:01Z,0.71,,
86a4471d-0163-4c92-a5bd-a5dfb6c32f81,21329e72-d28a-48a3-86cc-5905a095f47d,,eb6f2081-28bd-4565-a186-d9a2276f42da,2016-09-22T19:39:16+10:00,2016-09-22T19:39:16+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:13:29Z,0.96,,
7671c4d2-945d-4d98-96d8-32764597e475,21329e72-d28a-48a3-86cc-5905a095f47d,,d253a8f6-d8ae-4393-a6fd-20bfe668a54c,2016-09-26T19:19:17+10:00,2016-09-26T19:19:17+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:01:12Z,0.78,,
87c1b4ee-3b5a-411c-beae-64a5436eeb14,21329e72-d28a-48a3-86cc-5905a095f47d,,425dd66c-71cd-4127-87e7-9d74511a2d56,2016-10-07T22:58:00+10:00,2016-10-07T22:58:00+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:10:44Z,0.97,,
1715032c-c47a-4033-a0a7-be319c592be7,21329e72-d28a-48a3-86cc-5905a095f47d,,1715032c-c47a-4033-a0a7-be319c592be7,2016-10-18T04:37:50+10:00,2016-10-18T04:37:50+10:00,event,unclassified,,,,,,,,,,,,,,,,,,,,
f9e0f3f4-70c1-4774-8ba5-6af71018657d,21329e72-d28a-48a3-86cc-5905a095f47d,,9c2b3b1c-743b-4b91-9e03-349afdcc58d9,2016-10-31T02:53:13+10:00,2016-10-31T02:53:13+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,Speciesnet V4.0,2026-03-18T21:07:12Z,0.97,,
