observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
4fd70bf9-6d38-498d-a346-1b347ed75657,44e1d969-84b0-4df9-a821-81be2e5e6de0,,011c4796-29cf-42e9-8af9-54643cb56bd1,2016-07-26T20:23:41+10:00,2016-07-26T20:23:41+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:43:25Z,1.0,,
12a08444-5df6-4598-8466-75e05115880c,44e1d969-84b0-4df9-a821-81be2e5e6de0,,9441b7f4-603a-4867-8ed5-7616b4f0f6b4,2016-07-26T20:23:42+10:00,2016-07-26T20:23:42+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:56:30Z,1.0,,
1680d7e5-5082-4e62-9a13-9b27367a9383,44e1d969-84b0-4df9-a821-81be2e5e6de0,,fbf1b24b-c974-435a-88bc-a55cbcafeaef,2016-07-30T01:39:41+10:00,2016-07-30T01:39:41+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:47:13Z,1.0,,
4ab98edc-de05-469f-93f2-8361fed4afd9,44e1d969-84b0-4df9-a821-81be2e5e6de0,,60ea9da4-b6a0-4b6f-a148-81937baa7175,2016-07-30T01:39:42+10:00,2016-07-30T01:39:42+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:48:56Z,0.83,,
6acf89b1-bf56-4737-9d5b-90258593c5c8,44e1d969-84b0-4df9-a821-81be2e5e6de0,,6f64a476-d231-46ed-87ab-1646e3ad697c,2016-08-04T11:37:16+10:00,2016-08-04T11:37:16+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:49:16Z,1.0,,
6debe32b-d710-4a64-9ad3-ccad75cfc248,44e1d969-84b0-4df9-a821-81be2e5e6de0,,20df2fb7-b33f-4f6b-a94a-9f47907791e7,2016-08-05T20:13:17+10:00,2016-08-05T20:13:17+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:43:54Z,1.0,,
cf9f8d0d-482d-4617-8461-0c26938f7dfb,44e1d969-84b0-4df9-a821-81be2e5e6de0,,d9507a45-8fca-4519-a02d-0f5ed21abc97,2016-08-06T14:55:29+10:00,2016-08-06T14:55:29+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:49:03Z,1.0,,
90de9fff-ff39-4135-a4c4-f344baa65f87,44e1d969-84b0-4df9-a821-81be2e5e6de0,,de9ebb57-dc80-47c5-8b26-b12cd3d4d21c,2016-08-06T14:55:31+10:00,2016-08-06T14:55:31+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:51:47Z,1.0,,
d93d8006-2fe7-4b83-bfbe-b849201607f4,44e1d969-84b0-4df9-a821-81be2e5e6de0,,ad584ff7-da16-464a-a2da-4a06cc3a5b07,2016-08-07T19:52:09+10:00,2016-08-07T19:52:09+10:00,event,animal,,Carnivora,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:50:52Z,0.71,,
ac35a536-e471-46fd-8dee-daf177be9d9b,44e1d969-84b0-4df9-a821-81be2e5e6de0,,e490bb5f-9499-4b25-8296-da5ddf346673,2016-08-17T01:10:32+10:00,2016-08-17T01:10:32+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:42:09Z,1.0,,
d621a3e3-4f5d-49d6-aa5f-88639085ccd9,44e1d969-84b0-4df9-a821-81be2e5e6de0,,2ee9e6b6-b5f5-44dd-8ad2-7c663bae522f,2016-08-17T01:10:35+10:00,2016-08-17T01:10:35+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:48:52Z,1.0,,
8bb63ede-8a66-4753-bca7-ee4cea317d53,44e1d969-84b0-4df9-a821-81be2e5e6de0,,eb4ab0e6-1d41-4d1c-bf5f-13911df34207,2016-08-21T22:47:58+10:00,2016-08-21T22:47:58+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:55:39Z,1.0,,
5b807d68-24e7-42ee-bd8e-ab5a174cacde,44e1d969-84b0-4df9-a821-81be2e5e6de0,,2eb972aa-a45d-4323-a84f-e25d5d4aff0d,2016-08-23T14:40:42+10:00,2016-08-23T14:40:42+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:47:22Z,1.0,,
56aa2438-9d6b-448c-ad7a-6ad2a927ff38,44e1d969-84b0-4df9-a821-81be2e5e6de0,,a4fecda0-ca86-4d6e-a498-9983489c46f3,2016-08-23T14:40:43+10:00,2016-08-23T14:40:43+10:00,event,animal,,Vulpes vulpes,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:52:12Z,0.96,,
5ba9b28c-6355-4efb-b2ad-546fedc60ef7,44e1d969-84b0-4df9-a821-81be2e5e6de0,,2b377733-0148-40f9-8cd4-6ca49a2002ce,2016-08-27T04:31:24+10:00,2016-08-27T04:31:24+10:00,event,animal,,Felis catus,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:48:52Z,1.0,,
8eb06c5b-fc04-4dc8-9d12-8619bd07fa77,44e1d969-84b0-4df9-a821-81be2e5e6de0,,823ebf62-04eb-4c51-bfa5-8592719d42e6,2016-08-27T04:31:31+10:00,2016-08-27T04:31:31+10:00,event,animal,,Trichosurus vulpecula,1,,,,,,,,,,,,machine,wildobs national,2026-03-12T03:56:40Z,0.82,,
