mediaID,mediaComments,sequenceID,eventID,deploymentID,scientificName,confidence,classifiedBy,deploymentTags,true_species,pred_species
f97cc839-1924-43b3-b6bb-b679e69a4bc0,sequenceID:40ba86e4-a5bb-40f8-a790-e4bfce878e92,40ba86e4-a5bb-40f8-a790-e4bfce878e92,40ba86e4-a5bb-40f8-a790-e4bfce878e92,21329e72-d28a-48a3-86cc-5905a095f47d,Felidae,0.75,Speciesnet V4.0,Felis catus,felis catus,felidae
fd86c423-d824-4611-a1b8-cd4045ef1849,sequenceID:6168fec5-ec1b-4c0d-b649-a613d1eacd5f,6168fec5-ec1b-4c0d-b649-a613d1eacd5f,6168fec5-ec1b-4c0d-b649-a613d1eacd5f,21329e72-d28a-48a3-86cc-5905a095f47d,Leopardus pardalis,0.81,Speciesnet V4.0,Felis catus,felis catus,leopardus pardalis
a299be52-8474-4e86-a1ed-98b44dd1ef4b,sequenceID:14dcd9cc-baa6-4e7a-ab26-0654951af664,14dcd9cc-baa6-4e7a-ab26-0654951af664,14dcd9cc-baa6-4e7a-ab26-0654951af664,21329e72-d28a-48a3-86cc-5905a095f47d,Lynx rufus,0.83,Speciesnet V4.0,Felis catus,felis catus,lynx rufus
c7f9bfd3-aa9a-43dc-8d95-5c59e9c562a6,sequenceID:21cd0c7f-f0c2-473b-8a7b-2e6851894481,21cd0c7f-f0c2-473b-8a7b-2e6851894481,21cd0c7f-f0c2-473b-8a7b-2e6851894481,21329e72-d28a-48a3-86cc-5905a095f47d,Carnivora,0.89,Speciesnet V4.0,Felis catus,felis catus,carnivora
d2d7878e-2939-4d52-b229-d26cc2db6014,sequenceID:828da128-3418-433d-a501-b00944b5115e,828da128-3418-433d-a501-b00944b5115e,828da128-3418-433d-a501-b00944b5115e,21329e72-d28a-48a3-86cc-5905a095f47d,Felis,0.98,Speciesnet V4.0,Felis catus,felis catus,felis
3f1d55ad-f7bd-4a79-ba4d-6bc42d6317b7,sequenceID:45b66a52-677e-4172-bf6e-9b4ca1d73928,45b66a52-677e-4172-bf6e-9b4ca1d73928,45b66a52-677e-4172-bf6e-9b4ca1d73928,21329e72-d28a-48a3-86cc-5905a095f47d,Lynx rufus,0.88,Speciesnet V4.0,Felis catus,felis catus,lynx rufus
30f35c24-162a-495e-ae84-bb97895ae13b,sequenceID:442b78b4-1985-4665-b75e-7aa8126a8fc2,442b78b4-1985-4665-b75e-7aa8126a8fc2,442b78b4-1985-4665-b75e-7aa8126a8fc2,21329e72-d28a-48a3-86cc-5905a095f47d,Lynx rufus,0.67,Speciesnet V4.0,Felis catus,felis catus,lynx rufus
616d042f-f533-41fa-99be-da9263789ce9,sequenceID:3b9eb8d5-a56a-4fd6-b0fb-c144e689a9e3,3b9eb8d5-a56a-4fd6-b0fb-c144e689a9e3,3b9eb8d5-a56a-4fd6-b0fb-c144e689a9e3,21329e72-d28a-48a3-86cc-5905a095f47d,Mammalia,0.67,Speciesnet V4.0,Felis catus,felis catus,mammalia
fb636a9f-f768-48b2-87ab-cc627e0d4215,sequenceID:63f2cec1-578e-4430-8f57-48e5676f39aa,63f2cec1-578e-4430-8f57-48e5676f39aa,63f2cec1-578e-4430-8f57-48e5676f39aa,21329e72-d28a-48a3-86cc-5905a095f47d,Felidae,0.96,Speciesnet V4.0,Felis catus,felis catus,felidae
fa5c00cb-d3f8-43cd-8ebb-8de46d129fdd,sequenceID:c80ea921-3b86-4f0a-8446-50c0b564ba35,c80ea921-3b86-4f0a-8446-50c0b564ba35,c80ea921-3b86-4f0a-8446-50c0b564ba35,21329e72-d28a-48a3-86cc-5905a095f47d,Mammalia,0.71,Speciesnet V4.0,Felis catus,felis catus,mammalia
06ff2f91-3214-4d8f-9cb7-4b66dc7a8cbf,sequenceID:1715032c-c47a-4033-a0a7-be319c592be7,1715032c-c47a-4033-a0a7-be319c592be7,1715032c-c47a-4033-a0a7-be319c592be7,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
64e8e9fa-e458-4178-b345-4f46dd05eefb,sequenceID:ac50a9e8-e80d-4884-9c2c-d9a6c29d78e8,ac50a9e8-e80d-4884-9c2c-d9a6c29d78e8,ac50a9e8-e80d-4884-9c2c-d9a6c29d78e8,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
f38148bf-8453-4b31-ba00-5fc8431caae4,sequenceID:32ad551d-e908-4143-ab9b-51d2a0acf687,32ad551d-e908-4143-ab9b-51d2a0acf687,32ad551d-e908-4143-ab9b-51d2a0acf687,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
22f12c9b-8c35-4c89-b7d0-3420f8435cd5,sequenceID:d17c83e5-f808-4d0b-90da-1914aafe0548,d17c83e5-f808-4d0b-90da-1914aafe0548,d17c83e5-f808-4d0b-90da-1914aafe0548,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
ea43696b-54b6-4833-843a-f4f967ac55af,sequenceID:cb327165-5ed4-4d9e-ba68-5edc37fa141e,cb327165-5ed4-4d9e-ba68-5edc37fa141e,cb327165-5ed4-4d9e-ba68-5edc37fa141e,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
bebdf6e5-22f8-4385-aa58-4cf976ff2b4d,sequenceID:b8c7e071-0bc9-41a0-b55f-ac98f939018c,b8c7e071-0bc9-41a0-b55f-ac98f939018c,b8c7e071-0bc9-41a0-b55f-ac98f939018c,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
ac03ad09-7ba4-4782-9174-337120de9a37,sequenceID:1623984e-0b55-455a-9149-c26c585fb152,1623984e-0b55-455a-9149-c26c585fb152,1623984e-0b55-455a-9149-c26c585fb152,21329e72-d28a-48a3-86cc-5905a095f47d,Felidae,0.89,Speciesnet V4.0,Felis catus,felis catus,felidae
74125535-41f3-4ebd-8a26-c5fbdfcba451,sequenceID:b4a5e4fa-762f-4a6d-8973-de3f31a391aa,b4a5e4fa-762f-4a6d-8973-de3f31a391aa,b4a5e4fa-762f-4a6d-8973-de3f31a391aa,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
b81f7471-aeb5-4856-922a-60f9b8cf3c25,sequenceID:9cfc68d2-8ad5-46c8-9fa6-0dbb3b112bf6,9cfc68d2-8ad5-46c8-9fa6-0dbb3b112bf6,9cfc68d2-8ad5-46c8-9fa6-0dbb3b112bf6,21329e72-d28a-48a3-86cc-5905a095f47d,Felidae,0.87,Speciesnet V4.0,Felis catus,felis catus,felidae
1b8296c0-88fa-40c2-95c3-02869741f2ca,sequenceID:abc662bd-6648-4c0b-b972-49e0a5c9d9ab,abc662bd-6648-4c0b-b972-49e0a5c9d9ab,abc662bd-6648-4c0b-b972-49e0a5c9d9ab,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
e967cdc0-68cf-4d0e-a618-4f456923147a,sequenceID:69b14ec4-6247-4392-acbe-7deaad239b3d,69b14ec4-6247-4392-acbe-7deaad239b3d,69b14ec4-6247-4392-acbe-7deaad239b3d,21329e72-d28a-48a3-86cc-5905a095f47d,Carnivora,0.69,Speciesnet V4.0,Felis catus,felis catus,carnivora
00ae8b54-bb86-472f-83bf-1cd9c6f693ba,sequenceID:2172afe6-872c-445d-b57c-d080453b4184,2172afe6-872c-445d-b57c-d080453b4184,2172afe6-872c-445d-b57c-d080453b4184,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
6b33acf1-b781-4a3e-a783-a6a9db8b6b54,sequenceID:2172afe6-872c-445d-b57c-d080453b4184,2172afe6-872c-445d-b57c-d080453b4184,2172afe6-872c-445d-b57c-d080453b4184,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
b032fc88-7eec-4613-86fb-6ba50923432e,sequenceID:9ebda2ef-a5cb-4b18-825e-d969c56275dd,9ebda2ef-a5cb-4b18-825e-d969c56275dd,9ebda2ef-a5cb-4b18-825e-d969c56275dd,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
9030eee4-c309-45de-af1b-ece0b11bf6f4,sequenceID:9de4e43f-0be6-4423-9568-fedb5fbe0ff3,9de4e43f-0be6-4423-9568-fedb5fbe0ff3,9de4e43f-0be6-4423-9568-fedb5fbe0ff3,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
83f915fe-9bed-4672-8da2-5e35a2081cc8,sequenceID:cbb46a48-bfa5-4c27-8214-55750f631ae8,cbb46a48-bfa5-4c27-8214-55750f631ae8,cbb46a48-bfa5-4c27-8214-55750f631ae8,21329e72-d28a-48a3-86cc-5905a095f47d,Carnivora,0.85,Speciesnet V4.0,Felis catus,felis catus,carnivora
bef2ee86-5bb0-4512-a57c-a9f4a8d65871,sequenceID:608d90c7-6c71-46d9-85d4-35b82204ca99,608d90c7-6c71-46d9-85d4-35b82204ca99,608d90c7-6c71-46d9-85d4-35b82204ca99,21329e72-d28a-48a3-86cc-5905a095f47d,Carnivora,0.92,Speciesnet V4.0,Felis catus,felis catus,carnivora
5aafd7d5-6f25-437e-9982-04c0fb457469,sequenceID:d9891bba-9533-418b-b1ce-dcac979791ac,d9891bba-9533-418b-b1ce-dcac979791ac,d9891bba-9533-418b-b1ce-dcac979791ac,21329e72-d28a-48a3-86cc-5905a095f47d,,0.0,,Felis catus,felis catus,nan
aeb5ae76-0b16-43e1-a8c2-0ad7be69922a,sequenceID:a3d5da21-15c1-4f56-a7ad-241ad94367e9,a3d5da21-15c1-4f56-a7ad-241ad94367e9,a3d5da21-15c1-4f56-a7ad-241ad94367e9,21329e72-d28a-48a3-86cc-5905a095f47d,Felidae,0.77,Speciesnet V4.0,Felis catus,felis catus,felidae
a0a2bff0-ffb4-4a6f-842d-99d55033d2aa,sequenceID:82577591-d93b-4b12-96de-6c58af0e134b,82577591-d93b-4b12-96de-6c58af0e134b,82577591-d93b-4b12-96de-6c58af0e134b,21329e72-d28a-48a3-86cc-5905a095f47d,Lynx lynx,0.72,Speciesnet V4.0,Felis catus,felis catus,lynx lynx
59cdd317-d14d-400f-bd49-6a627220809d,sequenceID:7d34e37e-e6a3-49d9-8414-4a89f48d8855,7d34e37e-e6a3-49d9-8414-4a89f48d8855,7d34e37e-e6a3-49d9-8414-4a89f48d8855,21329e72-d28a-48a3-86cc-5905a095f47d,Mammalia,0.74,Speciesnet V4.0,Felis catus,felis catus,mammalia
